,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
2010-05-22,4.84,10.6,217.29,172900.0,178624.131294714,79571.08012333748,82205.40811575038,84892.37024086488
2010-05-29,4.78,10.6,217.29,177550.0,178624.131294714,81711.07736205072,82205.40811575038,84892.37024086488
2010-06-05,4.79,10.6,217.199,174900.0,178069.5495527114,80525.23262077633,81984.51629736388,84709.65525140305
2010-06-12,4.72,10.6,217.199,175000.0,178069.5495527114,80571.27334840399,81984.51629736388,82464.7806665903
2010-06-19,4.75,10.6,217.199,180000.0,178069.5495527114,82873.30972978697,81984.51629736388,82041.00332149811
2010-06-26,4.69,10.6,217.199,185000.0,178069.5495527114,85175.34611116994,81984.51629736388,80558.92795785134
2010-07-03,4.58,10.3,217.605,186000.0,176940.2680302527,85475.97711449646,81312.59301498251,82464.7806665903
2010-07-10,4.57,10.3,217.605,183000.0,176940.2680302527,84097.33232232716,81312.59301498251,78937.15616225718
2010-07-17,4.57,10.3,217.605,189000.0,176940.2680302527,86854.62190666575,81312.59301498251,79895.907046819
2010-07-24,4.56,10.3,217.605,185000.0,176940.2680302527,85016.42885044002,81312.59301498251,79895.907046819
2010-07-31,4.54,10.3,217.605,186000.0,176940.2680302527,85475.97711449646,81312.59301498251,81676.4444038624
2010-08-07,4.49,10.3,217.923,180000.0,175999.31843742184,82597.98185597666,80762.15839421347,79003.14221959106
2010-08-14,4.44,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,79693.97513547975
2010-08-21,4.42,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,81287.85463818935
2010-08-28,4.36,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,81189.4480931819
2010-09-04,4.32,10.3,218.275,184900.0,174652.84447326264,84709.65525140305,80015.04729046507,80055.51725389165
2010-09-11,4.35,10.3,218.275,180000.0,174652.84447326264,82464.7806665903,80015.04729046507,81643.020428898
2010-09-18,4.37,10.3,218.275,179075.0,174652.84447326264,82041.00332149811,80015.04729046507,80962.66192532385
2010-09-25,4.37,10.3,218.275,175840.0,174652.84447326264,80558.92795785134,80015.04729046507,79375.1587503175
2010-10-02,4.32,10.3,218.275,180000.0,173449.0269051419,82464.7806665903,79463.53311425581,76858.04319422027
2010-10-09,4.27,9.4,219.035,172900.0,173449.0269051419,78937.15616225718,79187.81331985386,78771.35636361993
2010-10-16,4.19,9.4,219.035,175000.0,173449.0269051419,79895.907046819,79187.81331985386,75953.8309213471
2010-10-23,4.21,9.4,219.035,175000.0,173449.0269051419,79895.907046819,79187.81331985386,75275.6717166922
2010-10-30,4.23,9.4,219.035,178900.0,173449.0269051419,81676.4444038624,79187.81331985386,76611.77658203318
2010-11-06,4.24,9.4,219.59,173483.0,172214.02759934097,79003.14221959106,78425.25961990118,72105.20148897241
2010-11-13,4.17,9.4,219.59,175000.0,172214.02759934097,79693.97513547975,78425.25961990118,75259.80405411495
2010-11-20,4.39,9.4,219.59,178500.0,172214.02759934097,81287.85463818935,78425.25961990118,76161.11907272712
2010-12-04,4.46,9.4,220.472,179000.0,171121.3168724921,81189.4480931819,77615.89538467111,76217.46186885217
2010-12-11,4.61,9.4,220.472,176500.0,171121.3168724921,80055.51725389165,77615.89538467111,73975.77181388592
2010-12-18,4.83,9.4,220.472,180000.0,171121.3168724921,81643.020428898,77615.89538467111,73975.77181388592
2010-12-25,4.81,9.4,220.472,178500.0,171121.3168724921,80962.66192532385,77615.89538467111,73079.09579189942
2011-01-01,4.86,9.4,220.472,175000.0,169947.60367366948,79375.1587503175,77083.53154762031,76217.46186885217
2011-01-08,4.77,9.7,221.187,170000.0,169947.60367366948,76858.04319422027,76834.35449355951,73630.14462745379
2011-01-15,4.71,9.7,221.187,174232.0,169947.60367366948,78771.35636361993,76834.35449355951,73630.14462745379
2011-01-22,4.74,9.7,221.187,168000.0,169947.60367366948,75953.8309213471,76834.35449355951,74522.63122899868
2011-01-29,4.8,9.7,221.187,166500.0,169947.60367366948,75275.6717166922,76834.35449355951,75861.36113131602
2011-02-05,4.81,9.7,221.898,170000.0,169110.0740531543,76611.77658203318,76210.72477136085,74508.6874905474
2011-02-12,5.05,9.7,221.898,160000.0,169110.0740531543,72105.20148897241,76210.72477136085,75155.02255277884
2011-02-19,5.0,9.7,221.898,167000.0,169110.0740531543,75259.80405411495,76210.72477136085,76287.99943062017
2011-02-26,4.95,9.7,221.898,169000.0,169110.0740531543,76161.11907272712,76210.72477136085,77844.89737818384
2011-03-05,4.87,9.7,223.046,170000.0,168514.82005493992,76217.46186885217,75551.59924631687,77844.89737818384
2011-03-12,4.88,9.7,223.046,165000.0,168514.82005493992,73975.77181388592,75551.59924631687,76491.73064775851
2011-03-19,4.76,9.7,223.046,165000.0,168514.82005493992,73975.77181388592,75551.59924631687,78289.72536320204
2011-03-26,4.81,9.7,223.046,163000.0,168514.82005493992,73079.09579189942,75551.59924631687,79179.38133323843
2011-04-02,4.86,9.7,223.046,170000.0,167704.63925853602,76217.46186885217,75188.36439951221,82070.76323585669
2011-04-09,4.87,9.2,224.093,165000.0,167704.63925853602,73630.14462745379,74837.07177758164,77641.47385700658
2011-04-16,4.91,9.2,224.093,165000.0,167704.63925853602,73630.14462745379,74837.07177758164,78085.13942190376
2011-04-23,4.8,9.2,224.093,167000.0,167704.63925853602,74522.63122899868,74837.07177758164,77641.47385700658
2011-04-30,4.78,9.2,224.093,170000.0,167704.63925853602,75861.36113131602,74837.07177758164,77863.30663945517
2011-05-07,4.71,9.2,224.806,167500.0,167083.3998023194,74508.6874905474,74323.37206405497,76070.5155988784
2011-05-14,4.63,9.2,224.806,168953.0,167083.3998023194,75155.02255277884,74323.37206405497,77397.32691746349
2011-05-21,4.61,9.2,224.806,171500.0,167083.3998023194,76287.99943062017,74323.37206405497,77397.32691746349
2011-05-28,4.6,9.2,224.806,175000.0,167083.3998023194,77844.89737818384,74323.37206405497,76512.78603840676
2011-06-04,4.55,9.2,224.806,175000.0,166629.38434618487,77844.89737818384,74121.41328353553,76346.99488519266
2011-06-11,4.49,9.2,224.806,171958.0,166629.38434618487,76491.73064775851,74121.41328353553,72956.3939504936
2011-06-18,4.5,9.2,224.806,176000.0,166629.38434618487,78289.72536320204,74121.41328353553,75023.05855770376
2011-06-25,4.5,9.2,224.806,178000.0,166629.38434618487,79179.38133323843,74121.41328353553,73257.81012105191
2011-07-02,4.51,9.2,224.806,184500.0,166216.86972150858,82070.76323585669,73937.91523425022,75146.62594826939
2011-07-09,4.6,9.8,225.395,175000.0,166216.86972150858,77641.47385700658,73744.70140043416,72767.36493936053
2011-07-16,4.51,9.8,225.395,176000.0,166216.86972150858,78085.13942190376,73744.70140043416,72767.36493936053
2011-07-23,4.52,9.8,225.395,175000.0,166216.86972150858,77641.47385700658,73744.70140043416,72767.36493936053
2011-07-30,4.55,9.8,225.395,175500.0,166216.86972150858,77863.30663945517,73744.70140043416,73649.39360529218
2011-08-06,4.39,9.8,226.106,172000.0,165659.53044748056,76070.5155988784,73266.31334306943,72633.14976955483
2011-08-13,4.32,9.8,226.106,175000.0,165659.53044748056,77397.32691746349,73266.31334306943,72192.94886186055
2011-08-20,4.15,9.8,226.106,175000.0,165659.53044748056,77397.32691746349,73266.31334306943,74614.05385417904
2011-08-27,4.22,9.8,226.106,173000.0,165659.53044748056,76512.78603840676,73266.31334306943,74816.36982171699
2011-09-03,4.22,9.8,226.597,173000.0,165137.9794960664,76346.99488519266,72877.39003431925,72285.81613657068
2011-09-10,4.12,9.8,226.597,165317.0,165137.9794960664,72956.3939504936,72877.39003431925,74816.36982171699
2011-09-17,4.09,9.8,226.597,170000.0,165137.9794960664,75023.05855770376,72877.39003431925,73936.17723557915
2011-09-24,4.09,9.8,226.597,166000.0,165137.9794960664,73257.81012105191,72877.39003431925,72615.88835637238
2011-10-01,4.01,9.8,226.597,170280.0,164437.94130346883,75146.62594826939,72568.4547030494,70930.29380008954
2011-10-08,3.94,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70224.1026676381
2011-10-15,4.12,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70224.1026676381
2011-10-22,4.11,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70180.21260347082
2011-10-29,4.1,9.4,226.75,167000.0,164437.94130346883,73649.39360529218,72519.4889982222,70074.32257838469
2011-11-05,4.0,9.4,227.169,165000.0,163951.1966082088,72633.14976955483,72171.46556449549,67884.49999781018
2011-11-12,3.99,9.4,227.169,164000.0,163951.1966082088,72192.94886186055,72171.46556449549,69636.35806226979
2011-11-19,4.0,9.4,227.169,169500.0,163951.1966082088,74614.05385417904,72171.46556449549,69855.34032032725
2011-12-03,4.0,9.4,227.223,170000.0,163492.1919664552,74816.36982171699,71952.30763014975,72113.1783555573
2011-12-10,3.99,9.4,227.223,164250.0,163492.1919664552,72285.81613657068,71952.30763014975,71020.55444107916
2011-12-17,3.94,9.4,227.223,170000.0,163492.1919664552,74816.36982171699,71952.30763014975,72113.1783555573
2011-12-24,3.91,9.4,227.223,168000.0,163492.1919664552,73936.17723557915,71952.30763014975,71457.60400687042
2011-12-31,3.95,9.4,227.223,165000.0,163492.1919664552,72615.88835637238,71952.30763014975,74079.90140161796
2012-01-07,3.91,8.8,227.842,161609.0,163229.10715449916,70930.29380008954,71641.3598697778,74175.23681535164
2012-01-14,3.89,8.8,227.842,160000.0,163229.10715449916,70224.1026676381,71641.3598697778,72748.45431896223
2012-01-21,3.88,8.8,227.842,160000.0,163229.10715449916,70224.1026676381,71641.3598697778,74175.23681535164
2012-01-28,3.98,8.8,227.842,159900.0,163229.10715449916,70180.21260347082,71641.3598697778,75266.04912145977
2012-02-04,3.87,8.8,228.329,160000.0,163227.2308682012,70074.32257838469,71487.73518396752,76777.4459694027
2012-02-11,3.87,8.8,228.329,155000.0,163227.2308682012,67884.49999781018,71487.73518396752,75203.4208811917
2012-02-18,3.87,8.8,228.329,159000.0,163227.2308682012,69636.35806226979,71487.73518396752,76515.10845470088
2012-02-25,3.95,8.8,228.329,159500.0,163227.2308682012,69855.34032032725,71487.73518396752,76952.33764587059
2012-03-03,3.9,8.8,228.807,165000.0,164016.10281359227,72113.1783555573,71683.16651745458,80887.40036639805
2012-03-10,3.88,8.8,228.807,162500.0,164016.10281359227,71020.55444107916,71683.16651745458,78766.3440163834
2012-03-17,3.92,8.8,228.807,165000.0,164016.10281359227,72113.1783555573,71683.16651745458,80735.50261679299
2012-03-24,4.08,8.8,228.807,163500.0,164016.10281359227,71457.60400687042,71683.16651745458,80297.91181670196
2012-03-31,3.99,8.8,228.807,169500.0,164016.10281359227,74079.90140161796,71683.16651745458,82267.07041711155
2012-04-07,3.98,8.6,229.187,170000.0,164697.75807779745,74175.23681535164,71861.73651987131,80055.99545036965
2012-04-14,3.88,8.6,229.187,166730.0,164697.75807779745,72748.45431896223,71861.73651987131,80055.99545036965
2012-04-21,3.9,8.6,229.187,170000.0,164697.75807779745,74175.23681535164,71861.73651987131,80055.99545036965
2012-04-28,3.88,8.6,229.187,172500.0,164697.75807779745,75266.04912145977,71861.73651987131,79618.53099435671
2012-05-05,3.84,8.6,228.713,175600.0,165440.5812380169,76777.4459694027,72335.45152134636,80463.4695848085
2012-05-12,3.83,8.6,228.713,172000.0,165440.5812380169,75203.4208811917,72335.45152134636,78285.30171626405
2012-05-19,3.79,8.6,228.713,175000.0,165440.5812380169,76515.10845470088,72335.45152134636,79593.5942379457
2012-05-26,3.78,8.6,228.713,176000.0,165440.5812380169,76952.33764587059,72335.45152134636,78288.78121765151
2012-06-02,3.75,8.6,228.713,185000.0,166105.36159120844,80887.40036639805,72626.11289747783,80463.4695848085
2012-06-09,3.67,8.6,228.524,180000.0,166105.36159120844,78766.3440163834,72686.1780781049,76185.52907819838
2012-06-16,3.71,8.6,228.524,184500.0,166105.36159120844,80735.50261679299,72686.1780781049,77484.14605112222
2012-06-23,3.66,8.6,228.524,183500.0,166105.36159120844,80297.91181670196,72686.1780781049,76834.83756466031
2012-06-30,3.66,8.6,228.524,188000.0,166105.36159120844,82267.07041711155,72686.1780781049,77700.5822132762
2012-07-07,3.62,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,76958.44377865462
2012-07-14,3.56,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,75548.91684438649
2012-07-21,3.53,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,76412.33303689376
2012-07-28,3.49,8.6,228.59,182000.0,166612.79505998135,79618.53099435671,72887.1757557117,75548.91684438649
2012-08-04,3.55,8.6,229.918,185000.0,167038.07435747542,80463.4695848085,72651.15143550109,75676.00292325589
2012-08-11,3.59,8.6,229.918,179992.0,167038.07435747542,78285.30171626405,72651.15143550109,76108.4372256745
2012-08-18,3.62,8.6,229.918,183000.0,167038.07435747542,79593.5942379457,72651.15143550109,78270.60873776751
2012-08-25,3.66,8.6,229.918,180000.0,167038.07435747542,78288.78121765151,72651.15143550109,79957.10251720008
